Daily_UV,Average_registration_rate,Average_search_volume,Visit_depth,Average_session_duration,Order_conversion_rate,Total_advertising_duration,Material_type_gif,Material_type_jpg,Material_type_video,Ad_type_Information flow,Ad_type_Splash Screen,Ad_type_banner,Ad_type_tips,Cooperation_method_cpc,Cooperation_method_cpd,Cooperation_method_cpm,Cooperation_method_roi,Ad_size_140*40,Ad_size_308*388,Ad_size_390*270,Ad_size_450*300,Ad_size_480*360,Ad_size_600*90,Ad_size_900*120,Ad_size_960*126,Ad_selling_point_Employment,Ad_selling_point_Expert faculty,Ad_selling_point_Free,Ad_selling_point_Improving efficiency,Ad_selling_point_Low Price,Ad_selling_point_Promotion and salary increase
0.00014350826714360434,0.1815856777493606,0.02063645130183221,0.013340491264024562,0.09397890402522706,0.11916859122401847,0.6551724137931035,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0.007062346237612529,0.10230179028132992,0.03124397299903568,0.010705256894526328,0.03512998995322745,0.013856812933025403,0.6206896551724138,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.0036256592781652767,0.056265984654731455,0.05110896817743491,0.008951836039840823,0.08007974485243381,0.012009237875288683,0.10344827586206896,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
4.07199766275241e-05,0.18925831202046034,0.3261330761812922,0.03309454286032135,0.08145977132916328,0.07066974595842955,0.3103448275862069,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.00013085740061854833,0.07161125319693094,0.1677917068466731,0.01218004917335086,0.07005769589520788,0.003233256351039261,1.0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
3.518522252281208e-05,0.36061381074168797,0.4006750241080039,0.03277508958470053,0.09303266437261615,0.1274826789838337,0.034482758620689655,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.0001280900235661923,0.07161125319693094,0.08216007714561235,0.007509703520824168,0.03451189991886164,0.003233256351039261,0.10344827586206896,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.00046847740100598115,0.08184143222506393,0.05197685631629702,0.01403451115994199,0.054313257019817096,0.014780600461893764,0.10344827586206896,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.0019430940303328248,0.09718670076726342,0.04320154291224687,0.014097789444569752,0.057513839597769484,0.013856812933025403,0.1724137931034483,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.0018284455524495045,0.11253196930946291,0.053905496624879465,0.012881213391726265,0.05175548807760514,0.013394919168591223,0.5172413793103449,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.004961116375716505,0.053708439897698204,0.01253616200578592,0.010987967940363278,0.053319817764581875,0.008314087759815241,0.6206896551724138,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.004559056023967068,0.05115089514066496,0.017743490838958535,0.010531751920546967,0.04571169134157005,0.008314087759815241,0.24137931034482757,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.0005001045673186212,0.020460358056265983,0.018129218900675027,0.010835895933757844,0.05096658043374188,0.011085450346420321,0.6896551724137931,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2.6883091365744062e-05,0.0,0.01205400192864031,0.004337624349483924,0.03381739148024697,0.0,0.44827586206896547,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.016144087044287127,0.038363171355498715,0.01128254580520733,0.009301907840281527,0.038496894940427365,0.011547344110854504,0.27586206896551724,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.0005321270732101692,0.053708439897698204,0.013596914175506269,0.008380290243202942,0.03930827858554029,0.011547344110854504,0.4827586206896552,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
5.811491809947614e-05,0.3273657289002557,0.012343297974927678,0.006739137312857024,0.04959779195763724,0.021709006928406466,0.3793103448275862,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
8.934674483320821e-05,0.0,0.004050144648023144,0.009990824648728976,0.05986033412823459,0.0,1.0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.000812027495077034,0.02301790281329923,0.013500482160077147,0.0073862088040506264,0.054859423850183976,0.007390300230946882,0.3448275862068965,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.001256389181769627,0.038363171355498715,0.012729026036644166,0.006688106438157215,0.05065865921662146,0.005542725173210161,0.7241379310344828,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
